cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,50.74640187,51.86714425,49.76304417,Maine,1,1988,1.0,Maine,1
1988,39.70124106,38.46524013,43.79096603,Maine,0,1988,0.0,Maine,0
1992,34.18174333,33.87582767,35.28277199999999,Maine,0,1992,0.5,Maine,1
1992,28.08667283,28.25746833,28.1918171,Maine,1,1992,0.5,Maine,0
1996,51.72884503,48.109517,54.30221123,Maine,0,1996,0.5,Maine,1
1996,37.78661316,36.7797596,38.85137103,Maine,1,1996,0.5,Maine,0
2000,42.84450874,44.33101971,44.84149567,Maine,0,2000,1.0,Maine,1
2000,36.67279384,41.04762157,36.81879887,Maine,1,2000,0.0,Maine,0
2004,43.38688045,42.868974,44.00550483,Maine,1,2004,0.0,Maine,0
2004,47.71251297,50.424364,46.5781519,Maine,0,2004,1.0,Maine,1
2008,52.26149368,55.260479,51.03514777,Maine,0,2008,1.0,Maine,1
2008,39.24572168,39.2628175,39.4565571,Maine,1,2008,0.0,Maine,0
2012,51.65161287,52.10950567,52.8202587,Maine,0,2012,1.0,Maine,1
2012,40.28609171,42.4746025,38.00415033,Maine,1,2012,0.0,Maine,0
2016,36.27476065,39.123305,35.99740367,Maine,1,2016,0.0,Maine,0
2016,43.4704729,46.1032875,41.15809133,Maine,0,2016,1.0,Maine,1
2020,39.46414516,40.34556667,40.23410667,Maine,1,2020,0.5,Maine,0
2020,54.12243226,53.51961333,52.594283,Maine,0,2020,0.5,Maine,1
