cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,53.12908558,56.27094763,52.938373,Oklahoma,1,1988,0.16666666666666666,Oklahoma,1
1988,38.80279529,38.26349288,38.9202928,Oklahoma,0,1988,0.8333333333333334,Oklahoma,0
1992,38.47542629,35.29019733,39.868639,Oklahoma,0,1992,0.6666666666666667,Oklahoma,0
1992,41.62786248,41.36264933,44.97389383,Oklahoma,1,1992,0.3333333333333333,Oklahoma,1
1996,42.7512581,39.5627698,43.71187433,Oklahoma,0,1996,0.5,Oklahoma,0
1996,45.72770416,46.7525804,46.25534733,Oklahoma,1,1996,0.5,Oklahoma,1
2000,36.24088048,37.01310486,35.41483383,Oklahoma,0,2000,0.0,Oklahoma,0
2000,53.58016584,55.78707900000001,53.23118743,Oklahoma,1,2000,1.0,Oklahoma,1
2004,60.8520109,62.30780350000001,60.4165409,Oklahoma,1,2004,0.8333333333333334,Oklahoma,1
2004,32.33720377,32.773757,32.49473573,Oklahoma,0,2004,0.16666666666666663,Oklahoma,0
2008,32.72996184,35.62121225,30.38518383,Oklahoma,0,2008,0.19999999999999996,Oklahoma,0
2008,62.27261974,60.51685300000001,61.50929373,Oklahoma,1,2008,0.8,Oklahoma,1
2012,29.16369174,30.84316933,28.68518003,Oklahoma,0,2012,0.19999999999999996,Oklahoma,0
2012,61.68080961,61.02952,60.91248057,Oklahoma,1,2012,0.8,Oklahoma,1
2016,52.16165548,56.9093075,51.09295967,Oklahoma,1,2016,1.0,Oklahoma,1
2016,30.99772516,30.74639,28.783295000000006,Oklahoma,0,2016,0.0,Oklahoma,0
2020,58.28815548,59.16533667,58.34985967,Oklahoma,1,2020,1.0,Oklahoma,1
2020,35.75704677,36.22041667,34.86377967,Oklahoma,0,2020,0.0,Oklahoma,0
