cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,55.25413316,55.87525038,54.89827693,Arizona,1,1988,0.8,Arizona,1.0
1988,33.50458039,31.384992999999998,39.12842683,Arizona,0,1988,0.19999999999999996,Arizona,0.0
1992,35.005571,32.83968533,37.13484763,Arizona,0,1992,0.19999999999999996,Arizona,0.0
1992,30.93490781,33.539823,32.97538493,Arizona,1,1992,0.8,Arizona,1.0
1996,45.45023332,44.8911674,45.15461203,Arizona,0,1996,0.5,Arizona,1.0
1996,37.17464339,38.1612874,38.1505359,Arizona,1,1996,0.5,Arizona,0.0
2000,39.61399123,39.32891514,38.32955733,Arizona,0,2000,0.16666666666666663,Arizona,0.0
2000,46.64669955,50.90066829,43.45131593,Arizona,1,2000,0.8333333333333334,Arizona,1.0
2004,50.88035545,51.739722,51.47714303,Arizona,1,2004,0.8333333333333334,Arizona,1.0
2004,41.79172932,42.514177000000004,39.02438293,Arizona,0,2004,0.16666666666666663,Arizona,0.0
2008,41.85412526,45.23538,39.07504223,Arizona,0,2008,0.25,Arizona,0.0
2008,49.90319968,49.5715025,51.78969703,Arizona,1,2008,0.75,Arizona,1.0
2012,42.22472332,43.61271133,42.14973977,Arizona,0,2012,0.625,Arizona,0.0
2012,51.57427913,52.54310699999999,50.677531200000004,Arizona,1,2012,0.375,Arizona,1.0
2016,41.88487613,45.13265,42.30908133,Arizona,1,2016,0.4444444444444444,Arizona,1.0
2016,41.71189258,42.37993875,38.54514667,Arizona,0,2016,0.5555555555555556,Arizona,0.0
2020,45.21922258,45.98508667,44.397884000000005,Arizona,1,2020,0.5555555555555556,Arizona,
2020,48.82835516,48.74862333,48.836257,Arizona,0,2020,0.4444444444444444,Arizona,
