cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,42.18025126,47.02727,39.32317985,Montana,1,1988,0.5,Montana,1
1988,41.15000219,36.5390875,43.5491267,Montana,0,1988,0.5,Montana,0
1992,39.18846606,35.49283133,41.79083917,Montana,0,1992,0.5,Montana,1
1992,31.68030384,30.52635667,36.33668463,Montana,1,1992,0.5,Montana,0
1996,41.82979755,41.1747774,42.26715313,Montana,0,1996,1.0,Montana,0
1996,38.45945635,40.3037778,36.68090897,Montana,1,1996,0.0,Montana,1
2000,33.0968461,32.73217914,33.69813613,Montana,0,2000,0.0,Montana,0
2000,51.2718799,53.48881071,48.557427,Montana,1,2000,1.0,Montana,1
2004,56.06355768,56.5098995,56.57008993,Montana,1,2004,1.0,Montana,1
2004,33.818364100000004,34.8181315,31.6012819,Montana,0,2004,0.0,Montana,0
2008,44.92007429,45.2315085,43.59851513,Montana,0,2008,0.0,Montana,0
2008,49.58464674,49.8717475,49.30667243,Montana,1,2008,1.0,Montana,1
2012,41.33348823,43.17802017,41.98759793,Montana,0,2012,0.0,Montana,0
2012,51.83746339,52.67481917,50.70299110000001,Montana,1,2012,1.0,Montana,1
2016,47.84309419,50.47004625,48.627572,Montana,1,2016,1.0,Montana,1
2016,32.62938806,33.796735,30.09915833,Montana,0,2016,0.0,Montana,0
2020,51.37076677,49.91851667,51.453455,Montana,1,2020,1.0,Montana,1
2020,43.72622839,45.33523,43.09422967,Montana,0,2020,0.0,Montana,0
