cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,57.44828752,58.33552563,56.52244003,Florida,1,1988,0.3684210526315789,Florida,1
1988,34.6837429,35.4195875,36.00800113,Florida,0,1988,0.631578947368421,Florida,0
1992,38.66822461,36.47383167,38.79239507,Florida,0,1992,0.42105263157894735,Florida,0
1992,38.35677026,39.895828,39.64292273,Florida,1,1992,0.5789473684210527,Florida,1
1996,46.59478755,46.3792614,46.589382799999996,Florida,0,1996,0.4347826086956522,Florida,1
1996,40.92120368,41.2475628,40.84641787,Florida,1,1996,0.5652173913043478,Florida,0
2000,43.69805552,46.57347886,43.377594200000004,Florida,0,2000,0.34782608695652173,Florida,0
2000,45.02228448,45.429918,43.88456767,Florida,1,2000,0.6521739130434783,Florida,1
2004,48.75977232,47.9744115,49.53974517,Florida,1,2004,0.6521739130434783,Florida,1
2004,46.44768781,47.4130245,44.02233027,Florida,0,2004,0.34782608695652173,Florida,0
2008,48.32438668,48.06866825,45.0932399,Florida,0,2008,0.29166666666666663,Florida,1
2008,45.33276,46.56100275,48.4949404,Florida,1,2008,0.7083333333333334,Florida,0
2012,47.08957277,47.44748817,47.6675374,Florida,0,2012,0.4,Florida,1
2012,48.71468097,49.13608517,46.7199908,Florida,1,2012,0.6,Florida,0
2016,42.65801677,45.0639175,43.04179033,Florida,1,2016,0.6296296296296297,Florida,1
2016,45.80621581,46.1970725,43.52967567,Florida,0,2016,0.37037037037037035,Florida,0
2020,45.52105387,46.59860333,45.94659033,Florida,1,2020,0.5769230769230769,Florida,1
2020,48.8263571,48.98198,48.333182,Florida,0,2020,0.42307692307692313,Florida,0
