cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,49.16334294,50.38779988,48.2784623,Nebraska,1,1988,1.0,Nebraska,1
1988,36.0724101,35.47140613,38.32444117,Nebraska,0,1988,0.0,Nebraska,0
1992,32.36499613,30.64068633,34.82023873,Nebraska,0,1992,0.33333333333333337,Nebraska,0
1992,40.10020342,40.21238567,42.73485727,Nebraska,1,1992,0.6666666666666666,Nebraska,1
1996,37.225014,36.483639200000006,39.16964853,Nebraska,0,1996,0.33333333333333337,Nebraska,0
1996,46.46101681,47.3222424,45.67523453,Nebraska,1,1996,0.6666666666666666,Nebraska,1
2000,31.57361665,33.01034414,32.8029935,Nebraska,0,2000,0.0,Nebraska,0
2000,55.72366684,57.70583414,53.33817683,Nebraska,1,2000,1.0,Nebraska,1
2004,60.67952423,61.0497595,61.14925189,Nebraska,1,2004,1.0,Nebraska,1
2004,30.86417745,31.938156,29.42903463,Nebraska,0,2004,0.0,Nebraska,0
2008,39.08256987,39.0779415,37.8640213,Nebraska,0,2008,0.0,Nebraska,0
2008,52.81375029,55.7014165,53.53292430000001,Nebraska,1,2008,1.0,Nebraska,1
2012,38.11327132,38.965358,38.6639331,Nebraska,0,2012,0.0,Nebraska,0
2012,55.02081842,57.060789,53.66102203,Nebraska,1,2012,1.0,Nebraska,1
2016,51.27946581,51.83659625,45.95346567,Nebraska,1,2016,1.0,Nebraska,1
2016,31.85818710000001,33.21922375,32.383519,Nebraska,0,2016,0.0,Nebraska,0
2020,51.8671931,52.27909667,52.2827261,Nebraska,1,2020,1.0,Nebraska,1
2020,43.35367103,42.55715667,46.28272,Nebraska,0,2020,0.0,Nebraska,0
